"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
865,49,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-835113.002,-1063972.635,c(-835113.002, -1063972.635)
873,50,"dam",0,0,149888.39284442,5225437.09253873,0.028684374185356,0.0286814636731808,0.0101477114569075,"1",-834449.105999999,-1064401.721,c(-834449.105999999, -1064401.721)
889,51,"dam",0,0,149877.93521091,5225437.09253873,0.0286823728918136,0.0286814636731808,0.00317005660225913,"1",-831525.864999998,-1065639.906,c(-831525.864999998, -1065639.906)
896,52,"dam",0,0,149876.544807663,5225437.09253873,0.028682106808188,0.0286814636731808,0.00224233677369302,"1",-827949.333999999,-1066354.828,c(-827949.333999999, -1066354.828)
906,53,"dam",0,0,149884.033405977,5225437.09253873,0.0286835399128606,0.0286814636731808,0.00723895998968933,"1",-827604.743999999,-1066908.852,c(-827604.743999999, -1066908.852)
917,54,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-825521.463,-1067743.453,c(-825521.463, -1067743.453)
928,55,"dam",0,0,149877.48458635,5225437.09253873,0.0286822866550927,0.0286814636731808,0.00286938603025334,"1",-830547.585000001,-1066510.057,c(-830547.585000001, -1066510.057)
957,56,"dam",0,0,149913.242736977,5225437.09253873,0.0286891297478319,0.0286814636731808,0.0267283243924966,"1",-825297.098000001,-1029557.458,c(-825297.098000001, -1029557.458)
968,57,"dam",0,0,149877.158240501,5225437.09253873,0.0286822242017815,0.0286814636731808,0.00265163803814659,"1",-833199.693,-1029945.662,c(-833199.693, -1029945.662)
969,58,"dam",0,0,149891.373163887,5225437.09253873,0.0286849445337143,0.0286814636731808,0.012136272308654,"1",-830637.877999999,-1030623.234,c(-830637.877999999, -1030623.234)
976,59,"dam",0,0,149875.093474724,5225437.09253873,0.0286818290643527,0.0286814636731808,0.00127396277967023,"1",-819565.956999999,-1047887.509,c(-819565.956999999, -1047887.509)
986,60,"dam",1,1,149873.184146141,5225437.09253873,0.0286814636731808,0.0286814636731808,0,"1",-811422.18,-1053021.11,c(-811422.18, -1053021.11)
991,61,"dam",0,0,150224.515841284,5225437.09253873,0.028748698564525,0.0286814636731808,0.234419317334331,"1",-809959.469999999,-1052686.64,c(-809959.469999999, -1052686.64)
996,62,"dam",0,0,149902.841444038,5225437.09253873,0.0286871392362718,0.0286814636731808,0.0197882616997935,"1",-823264.719999999,-1036424.21,c(-823264.719999999, -1036424.21)
1007,63,"dam",0,0,149876.112843944,5225437.09253873,0.0286820241426212,0.0286814636731808,0.00195411728891436,"1",-823905.342,-1032510.096,c(-823905.342, -1032510.096)
1016,64,"dam",0,0,149955.936332385,5225437.09253873,0.0286973000873942,0.0286814636731808,0.055214804913094,"1",-816800.603,-1051106.188,c(-816800.603, -1051106.188)
1026,65,"dam",0,0,149878.277258971,5225437.09253873,0.0286824383500815,0.0286814636731808,0.00339828159328032,"1",-824037.296999998,-1032151.5,c(-824037.296999998, -1032151.5)
1034,66,"dam",0,0,150063.649216341,5225437.09253873,0.0287179132690379,0.0286814636731808,0.127084155370765,"1",-821105.219999999,-1044816.99,c(-821105.219999999, -1044816.99)
1044,67,"dam",0,0,149879.790621293,5225437.09253873,0.0286827279645759,0.0286814636731808,0.00440804349987174,"1",-823410.050000001,-1035999.46,c(-823410.050000001, -1035999.46)
1054,68,"dam",0,0,149897.417859388,5225437.09253873,0.0286861013164665,0.0286814636731808,0.0161694791399458,"1",-824251.208000001,-1034137.598,c(-824251.208000001, -1034137.598)
1065,69,"dam",0,0,149884.486105553,5225437.09253873,0.0286836265466804,0.0286814636731808,0.00754101507594261,"1",-818523.234999999,-1049127.286,c(-818523.234999999, -1049127.286)
1073,70,"dam",0,0,149873.767166139,5225437.09253873,0.028681575246622,0.0286814636731808,0.000389008882002671,"1",-819440.090999998,-1047998.744,c(-819440.090999998, -1047998.744)
1086,71,"dam",0,0,149873.555427572,5225437.09253873,0.028681534725884,0.0286814636731808,0.000247730394719885,"1",-834545.323417658,-1029705.51508267,c(-834545.323417658, -1029705.51508267)
