"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
707,78,"dam",0,0,22633.5378878525,1258924.19830348,0.0179784755256538,0.0179718200055911,0.0370330888056235,"1",-633372.309999999,-1174199.2,c(-633372.309999999, -1174199.2)
720,79,"dam",0,0,23039.6361919069,1258924.19830348,0.0183010511855718,0.0179718200055911,1.831930098778,"1",-618217.215,-1172764.313,c(-618217.215, -1172764.313)
730,80,"dam",0,0,22629.0532801249,1258924.19830348,0.0179749132716804,0.0179718200055911,0.0172117575643537,"1",-623027.699999999,-1177313.91,c(-623027.699999999, -1177313.91)
738,81,"dam",0,0,22631.3208337435,1258924.19830348,0.0179767144552796,0.0179718200055911,0.0272340235264943,"1",-621535.136999998,-1174600.883,c(-621535.136999998, -1174600.883)
746,82,"dam",0,0,22626.3134203202,1258924.19830348,0.0179727369215805,0.0179718200055911,0.00510196512714776,"1",-624113.022,-1177021.635,c(-624113.022, -1177021.635)
753,83,"dam",0,0,22628.5548453219,1258924.19830348,0.0179745173504616,0.0179718200055911,0.015008746302008,"1",-625343.57,-1176955,c(-625343.57, -1176955)
760,84,"dam",0,0,22631.4506650346,1258924.19830348,0.0179768175840393,0.0179718200055911,0.0278078594522575,"1",-626348.087000001,-1176380.349,c(-626348.087000001, -1176380.349)
761,85,"dam",0,0,22625.815825022,1258924.19830348,0.0179723416672048,0.0179718200055911,0.002902664357218,"1",-623750.02,-1177189.16,c(-623750.02, -1177189.16)
769,86,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-631066.260000002,-1175101.69,c(-631066.260000002, -1175101.69)
789,87,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-617603.102000002,-1168776.586,c(-617603.102000002, -1168776.586)
790,88,"dam",0,0,22739.819773452,1258924.19830348,0.0180628983096012,0.0179718200055911,0.506783976145464,"1",-618381.796999998,-1167241.149,c(-618381.796999998, -1167241.149)
803,89,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-617279.868000001,-1169018.147,c(-617279.868000001, -1169018.147)
815,90,"dam",1,1,22625.1590925933,1258924.19830348,0.0179718200055911,0.0179718200055911,0,"1",-625507.579999998,-1164121.95,c(-625507.579999998, -1164121.95)
