"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
516,137,"dam",1,1,NA,NA,NA,NA,NA,NA,-811426.923,-1063777.075,c(-811426.923, -1063777.075)
520,138,"dam",1,1,NA,NA,NA,NA,NA,NA,-819917.545000002,-1071314.735,c(-819917.545000002, -1071314.735)
521,139,"dam",1,1,NA,NA,NA,NA,NA,NA,-820378.989,-1069819.804,c(-820378.989, -1069819.804)
522,140,"dam",0,0,NA,NA,NA,NA,NA,NA,-812231.477000002,-1098978.798,c(-812231.477000002, -1098978.798)
523,141,"dam",0,0,NA,NA,NA,NA,NA,NA,-814084.129999999,-1087065.121,c(-814084.129999999, -1087065.121)
524,142,"dam",0,0,NA,NA,NA,NA,NA,NA,-814014.502,-1086867.664,c(-814014.502, -1086867.664)
526,143,"dam",0,0,NA,NA,NA,NA,NA,NA,-814376.760000002,-1086530.115,c(-814376.760000002, -1086530.115)
527,144,"dam",0,0,NA,NA,NA,NA,NA,NA,-814604.659000002,-1086538.031,c(-814604.659000002, -1086538.031)
528,145,"dam",0,0,NA,NA,NA,NA,NA,NA,-819040.388,-1072229.277,c(-819040.388, -1072229.277)
529,146,"dam",1,1,NA,NA,NA,NA,NA,NA,-819495.923,-1071884.27,c(-819495.923, -1071884.27)
530,147,"dam",0,0,NA,NA,NA,NA,NA,NA,-819720.971000001,-1071369.691,c(-819720.971000001, -1071369.691)
531,148,"dam",0,0,NA,NA,NA,NA,NA,NA,-820273.050999999,-1071229.232,c(-820273.050999999, -1071229.232)
532,149,"dam",0,0,NA,NA,NA,NA,NA,NA,-820405.081999999,-1069939.286,c(-820405.081999999, -1069939.286)
533,150,"dam",0,0,NA,NA,NA,NA,NA,NA,-813657.212000001,-1084246.228,c(-813657.212000001, -1084246.228)
535,151,"dam",0,0,NA,NA,NA,NA,NA,NA,-814159.568999998,-1083883.081,c(-814159.568999998, -1083883.081)
536,152,"dam",0,0,NA,NA,NA,NA,NA,NA,-814339.932999998,-1083625.811,c(-814339.932999998, -1083625.811)
537,153,"dam",0,0,NA,NA,NA,NA,NA,NA,-814221.936000001,-1083542.845,c(-814221.936000001, -1083542.845)
538,154,"dam",0,0,NA,NA,NA,NA,NA,NA,-814141.649,-1083362.848,c(-814141.649, -1083362.848)
539,155,"dam",0,0,NA,NA,NA,NA,NA,NA,-813332.123,-1083069.764,c(-813332.123, -1083069.764)
540,156,"dam",0,0,NA,NA,NA,NA,NA,NA,-814786.068,-1098036.964,c(-814786.068, -1098036.964)
541,157,"dam",0,0,NA,NA,NA,NA,NA,NA,-814245.68,-1098144.814,c(-814245.68, -1098144.814)
542,158,"dam",0,0,NA,NA,NA,NA,NA,NA,-813725.903999999,-1098404.203,c(-813725.903999999, -1098404.203)
543,159,"dam",0,0,NA,NA,NA,NA,NA,NA,-811882.715,-1098954.255,c(-811882.715, -1098954.255)
545,160,"dam",0,0,NA,NA,NA,NA,NA,NA,-809220.160999998,-1098557.172,c(-809220.160999998, -1098557.172)
546,161,"dam",0,0,NA,NA,NA,NA,NA,NA,-809283.897999998,-1098171.898,c(-809283.897999998, -1098171.898)
547,162,"dam",0,0,NA,NA,NA,NA,NA,NA,-810208.579999998,-1097002.331,c(-810208.579999998, -1097002.331)
