"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
467,55,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-630749.379999999,-1157261.638,c(-630749.379999999, -1157261.638)
477,56,"dam",0,0,20369.9843277658,1154635.04297332,0.0176419245645885,0.0176411112863675,0.00461013032449193,"1",-626113.366999999,-1157710.061,c(-626113.366999999, -1157710.061)
499,57,"dam",0,0,20369.1746130616,1154635.04297332,0.0176412232913081,0.0176411112863675,0.000634908644705269,"1",-626364.629999999,-1157935.42,c(-626364.629999999, -1157935.42)
509,58,"dam",0,0,20369.1258261495,1154635.04297332,0.0176411810382063,0.0176411112863675,0.00039539367782896,"1",-626558.16,-1157980.04,c(-626558.16, -1157980.04)
524,59,"dam",0,0,20383.458235772,1154635.04297332,0.017653593973107,0.0176411112863675,0.0707590725824327,"1",-638877.081999999,-1136676.24,c(-638877.081999999, -1136676.24)
544,60,"dam",0,0,20386.3750589385,1154635.04297332,0.0176561201593546,0.0176411112863675,0.0850789541735508,"1",-631276.603,-1154138.457,c(-631276.603, -1154138.457)
554,61,"dam",0,0,20406.6047029166,1154635.04297332,0.017673640538717,0.0176411112863675,0.184394575950365,"1",-633452.368999999,-1150449.373,c(-633452.368999999, -1150449.373)
565,62,"dam",0,0,20380.861366948,1154635.04297332,0.0176513448911656,0.0176411112863675,0.0580099781242049,"1",-635168.789000001,-1148253.996,c(-635168.789000001, -1148253.996)
574,63,"dam",0,0,20369.6441182297,1154635.04297332,0.0176416299177751,0.0176411112863675,0.00293990213625225,"1",-635352.848999999,-1146561.292,c(-635352.848999999, -1146561.292)
583,64,"dam",0,0,20371.7809702309,1154635.04297332,0.0176434805908637,0.0176411112863675,0.0134305852828779,"1",-635895.901000001,-1146374.5,c(-635895.901000001, -1146374.5)
595,65,"dam",0,0,20375.14192952,1154635.04297332,0.0176463914320941,0.0176411112863675,0.0299309133126292,"1",-637148.513999999,-1145729.927,c(-637148.513999999, -1145729.927)
607,66,"dam",0,0,20383.0069025641,1154635.04297332,0.0176532030849119,0.0176411112863675,0.0685432926990031,"1",-638126.513999999,-1140043.677,c(-638126.513999999, -1140043.677)
622,67,"dam",0,0,20411.1695419421,1154635.04297332,0.017677594029522,0.0176411112863675,0.206805243514353,"1",-630878.25,-1154998.865,c(-630878.25, -1154998.865)
626,68,"dam",0,0,20375.7990581681,1154635.04297332,0.0176469605544779,0.0176411112863675,0.0331570274422864,"1",-638086.581,-1144737.628,c(-638086.581, -1144737.628)
636,69,"dam",0,0,20383.1482885619,1154635.04297332,0.0176533255357232,0.0176411112863675,0.0692374145677237,"1",-638568.199999999,-1143150.017,c(-638568.199999999, -1143150.017)
646,70,"dam",0,0,20370.5167776378,1154635.04297332,0.0176423857058602,0.0176411112863675,0.00722414519090745,"1",-635340.171999998,-1146874.278,c(-635340.171999998, -1146874.278)
656,71,"dam",0,0,20377.0316537513,1154635.04297332,0.0176480280741159,0.0176411112863675,0.0392083448491402,"1",-638999.011,-1138449.011,c(-638999.011, -1138449.011)
667,72,"dam",0,0,20369.2796449118,1154635.04297332,0.0176413142567182,0.0176411112863675,0.00115055308813395,"1",-637590.857000001,-1186077.081,c(-637590.857000001, -1186077.081)
681,73,"dam",0,0,20389.7143400874,1154635.04297332,0.0176590122256999,0.0176411112863675,0.10147285531914,"1",-629584.162999999,-1174940.214,c(-629584.162999999, -1174940.214)
682,74,"dam",0,0,20371.1610680276,1154635.04297332,0.0176429437093555,0.0176411112863675,0.0103872310431934,"1",-621112.07799036,-1175428.68136846,c(-621112.07799036, -1175428.68136846)
689,75,"dam",0,0,20395.6416855577,1154635.04297332,0.0176641457486311,0.0176411112863675,0.13057262600751,"1",-621782.16,-1174369.85,c(-621782.16, -1174369.85)
693,76,"dam",0,0,20372.5615435605,1154635.04297332,0.0176441566255418,0.0176411112863675,0.0172627399986657,"1",-621282.199999999,-1175906.38,c(-621282.199999999, -1175906.38)
700,77,"dam",0,0,20379.3634928718,1154635.04297332,0.0176500476205819,0.0176411112863675,0.0506562997609178,"1",-628448.868000001,-1176091.066,c(-628448.868000001, -1176091.066)
707,78,"dam",0,0,20377.4240834914,1154635.04297332,0.0176483679475179,0.0176411112863675,0.0411349434429032,"1",-633372.309999999,-1174199.2,c(-633372.309999999, -1174199.2)
720,79,"dam",0,0,20783.5223875458,1154635.04297332,0.0180000793445743,0.0176411112863675,2.03483812544262,"1",-618217.215,-1172764.313,c(-618217.215, -1172764.313)
730,80,"dam",0,0,20372.9394757637,1154635.04297332,0.0176444839429964,0.0176411112863675,0.0191181642362602,"1",-623027.699999999,-1177313.91,c(-623027.699999999, -1177313.91)
738,81,"dam",0,0,20375.2070293824,1154635.04297332,0.0176464478134266,0.0176411112863675,0.0302505152450287,"1",-621535.136999998,-1174600.883,c(-621535.136999998, -1174600.883)
746,82,"dam",0,0,20370.1996159591,1154635.04297332,0.0176421110202089,0.0176411112863675,0.00566706838997658,"1",-624113.022,-1177021.635,c(-624113.022, -1177021.635)
753,83,"dam",0,0,20372.4410409608,1154635.04297332,0.0176440522613096,0.0176411112863675,0.016671143298974,"1",-625343.57,-1176955,c(-625343.57, -1176955)
760,84,"dam",0,0,20375.3368606735,1154635.04297332,0.0176465602570008,0.0176411112863675,0.0308879103182748,"1",-626348.087000001,-1176380.349,c(-626348.087000001, -1176380.349)
761,85,"dam",0,0,20369.7020206609,1154635.04297332,0.0176416800655959,0.0176411112863675,0.00322416892619515,"1",-623750.02,-1177189.16,c(-623750.02, -1177189.16)
769,86,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-631066.260000002,-1175101.69,c(-631066.260000002, -1175101.69)
789,87,"dam",1,1,20369.0452882322,1154635.04297332,0.0176411112863675,0.0176411112863675,0,"1",-617603.102000002,-1168776.586,c(-617603.102000002, -1168776.586)
